,Kilometraje,Precio,Anho,Transmisión,Vehículo,Región,Ciudad,Combustible,Puertas,Color Exterior,Pasajeros,Litros (motor),Consumo de combustible (combinado),Cilindros
58,100.000 kms,$ 9.290.000,2013,automático,2013 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
59,38.500 kms,$ 11.690.000,2017,manual,2017 Subaru XV 2.0i New XV Manual 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata brillante,,, km/l,
60,87.407 kms,$ 6.750.000,2011,automático,2011 Subaru XV Limited,Metropolitana de Santiago,Santiago,Bencina,5,Gris plateado,,, km/l,
61,35.000 kms,$ 11.580.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Rojo Venecia,5,2.0,"13,5 km/l",4
62,100.000 kms,$ 6.300.000,2011,manual,2011 Subaru XV Awd mecanico full,Metropolitana de Santiago,Santiago,Bencina,5,negro,,, km/l,
63,,$ 11.900.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Grafito,5,2.0,"13,5 km/l",4
64,1 kms,$ 9.190.000,2014,automático,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,,, km/l,
65,19.000 kms,$ 12.490.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"13,5 km/l",4
66,121.400 kms,$ 9.170.000,2014,manual,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris metálico ,5,2.0,"14,5 km/l",4
67,66.000 kms,$ 9.790.000,2015,manual,2015 Subaru XV 1.6i 4WD,Valparaíso,Limache,Bencina,5,Blanco perla,5,1.6,"15,9 km/l",4
68,80.000 kms,$ 11.000.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Bío Bío,Los Angeles,Bencina,5,Naranja,5,2.0,"15,2 km/l",4
69,45.500 kms,$ 13.390.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco ,5,2.0,"13,5 km/l",4
70,71.140 kms,$ 10.900.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic 4WD,Bío Bío,Los Angeles,Bencina,5,Plateado Plata,,, km/l,
71,64.000 kms,$ 8.985.000,2014,manual,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,2.0,"14,5 km/l",4
72,55.000 kms,$ 12.500.000,2015,automático,2015 Subaru XV XV LIMITED,Metropolitana de Santiago,Santiago,Bencina,5,Blanco,,, km/l,
73,44.534 kms,$ 7.690.000,2011,manual,2011 Subaru XV 2.0 AWD RZ AUT,Metropolitana de Santiago,Santiago,Bencina,5,PLATEADO CHISPEANTE,,, km/l,
74,66.000 kms,$ 8.990.000,2013,automático,2013 Subaru XV new xv awd 2.0i aut,Metropolitana de Santiago,Santiago,Bencina,5,rojo oscuro,,, km/l,
75,59.000 kms,$ 9.500.000,2014,manual,2014 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,azul gris metal,5,1.6,"15,4 km/l",4
76,46.000 kms,$ 12.500.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris,,, km/l,
77,100.000 kms,$ 6.000.000,2011,automático,2011 Subaru XV Station awd,Metropolitana de Santiago,Santiago,Bencina,5,Negro,,, km/l,
78,84.788 kms,$ 9.690.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Bío Bío,Concepcion,Bencina,5,Blanco,5,2.0,"15,2 km/l",4
79,28.200 kms,$ 10.550.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco perlado,,, km/l,
80,8.000 kms,$ 14.200.000,2018,automático,2018 Subaru XV 2.0i CVT Auto 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRAFITO,5,2.0,"14,1 km/l",4
81,113.000 kms,$ 6.400.000,2011,automático,2011 Subaru XV 2.0R AWD AUT,Metropolitana de Santiago,Santiago,Bencina,5,gris oscuro,,, km/l,
82,21.000 kms,$ 12.590.000,2017,automático,2017 Subaru XV 2.0i CVT Auto 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"13,5 km/l",4
83,22.000 kms,$ 12.800.000,2016,automático,2016 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Rojo Venecia ,,, km/l,
