,Región,Consumo de combustible (combinado),Ciudad,Kilometraje,Color Exterior,Transmisión,Vehículo,Combustible,Anho,Precio,Puertas,Litros (motor),Cilindros,Pasajeros
114,OHiggins,0 km/l,San Fernando,130.000 kms,Plateado,automático,2007 Subaru LEGACY 2.0R 4D AT AWD XA,Bencina,2007,$ 4.350.000,4,2,4,5
115,Valparaíso,0 km/l,Quilpue,,PLATEADO CLARO,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 3.690.000,5,2,4,5
116,Metropolitana de Santiago,0 km/l,Santiago,120.000 kms,gris,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD UX,Bencina,2008,$ 4.590.000,4,2,4,5
117,Metropolitana de Santiago, km/l,Santiago,180.000 kms,GRIS PERLA,automático,2000 Subaru LEGACY 2.0 AWD GE TW,Bencina,2000,$ 2.000.000,5,,,
118,Los Lagos,0 km/l,Fresia,254 kms,blanco,manual,2002 Subaru LEGACY 2.0 AWD GT PA,Bencina,2002,$ 3.400.000,4,2,4,5
119,Metropolitana de Santiago, km/l,Santiago,1 kms,gris claro,automático,2016 Subaru LEGACY 2.5I CVT Limited 4WD,Bencina,2016,$ 13.990.000,4,,,
120,Bío Bío, km/l,Concepcion,162.000 kms,Blanco Perla,automático,2009 Subaru LEGACY 2.0R 4D Auto AWD U,Bencina,2009,$ 5.600.000,4,,,
121,Metropolitana de Santiago, km/l,Santiago,105.000 kms,Beige,automático,2006 Subaru LEGACY 2.0 R AUT ,Bencina,2006,$ 4.700.000,4,,,
122,Metropolitana de Santiago, km/l,Santiago,54.000 kms,Azul ,automático,2016 Subaru LEGACY FULL 2.5I 1DUEÑO AWD ,Bencina,2016,$ 10.180.000,5,,,
123,OHiggins,"12,3 km/l",Santa Cruz,115.000 kms,Gris grafito,automático,2012 Subaru LEGACY 2.0I TW AWD CVT XS,Bencina,2012,$ 6.700.000,5,2.0,4,5
124,Metropolitana de Santiago, km/l,Santiago,125.000 kms,Negro Obsidiana,automático,2009 Subaru LEGACY 3.0R 4D 5Auto AWD 3MS,Bencina,2009,$ 7.600.000,4,,,
125,Metropolitana de Santiago,0 km/l,Santiago,138.000 kms,,automático,2010 Subaru LEGACY 2.5GT 4P AWD Auto SI Drive,Bencina,2010,$ 8.900.000,4,2.5,4,5
126,Araucanía, km/l,Pucon,218.000 kms,,automático,1996 Subaru LEGACY xxxxx,Bencina,1996,$ 2.300.000,5,,,
127,Metropolitana de Santiago,0 km/l,Santiago,164.000 kms,Perla,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD XX,Bencina,2008,$ 4.500.000,4,2,4,5
